title,pageid_url_slug,revision_id,prose_word_count,url,source,date_fetched
Kiri Vehera (Polonnaruwa),Kiri_Vehera_(Polonnaruwa),1357367580,357,https://en.wikipedia.org/wiki/Kiri_Vehera_(Polonnaruwa)?oldid=1357367580,Category:Articles containing suspected AI-generated texts from November 2025,2026-07-23 00:22:37
Klissoura Cave 1,Klissoura_Cave_1,1355544263,1038,https://en.wikipedia.org/wiki/Klissoura_Cave_1?oldid=1355544263,Category:Articles containing suspected AI-generated texts from January 2026,2026-07-23 00:22:37
Kolombangara,Kolombangara,1364041988,750,https://en.wikipedia.org/wiki/Kolombangara?oldid=1364041988,Category:Articles containing suspected AI-generated texts from August 2025,2026-07-23 00:22:38
Kony: Order from Above,Kony:_Order_from_Above,1352860715,899,https://en.wikipedia.org/wiki/Kony:_Order_from_Above?oldid=1352860715,Category:Articles containing suspected AI-generated texts from August 2025,2026-07-23 00:22:39
Koronadal,Koronadal,1362298137,3549,https://en.wikipedia.org/wiki/Koronadal?oldid=1362298137,Category:Articles containing suspected AI-generated texts from January 2026,2026-07-23 00:22:40
LRDD,LRDD,1360292531,3170,https://en.wikipedia.org/wiki/LRDD?oldid=1360292531,Category:Articles containing suspected AI-generated texts from March 2026,2026-07-23 00:22:40
Lake Katwe,Lake_Katwe,1360552430,375,https://en.wikipedia.org/wiki/Lake_Katwe?oldid=1360552430,Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:40
Lasviyas,Lasviyas,1331813541,627,https://en.wikipedia.org/wiki/Lasviyas?oldid=1331813541,Category:Articles containing suspected AI-generated texts from October 2025,2026-07-23 00:22:41
Luagan Lalak Forest Recreation Park,Luagan_Lalak_Forest_Recreation_Park,1337123319,583,https://en.wikipedia.org/wiki/Luagan_Lalak_Forest_Recreation_Park?oldid=1337123319,Category:Articles containing suspected AI-generated texts from January 2026,2026-07-23 00:22:41
Mababe Depression,Mababe_Depression,1344300216,403,https://en.wikipedia.org/wiki/Mababe_Depression?oldid=1344300216,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:42
Mansya Kalan,Mansya_Kalan,1362374739,241,https://en.wikipedia.org/wiki/Mansya_Kalan?oldid=1362374739,Category:Articles containing suspected AI-generated texts from April 2026,2026-07-23 00:22:42
Marc Parmentier (geophysicist),Marc_Parmentier_(geophysicist),1309516028,337,https://en.wikipedia.org/wiki/Marc_Parmentier_(geophysicist)?oldid=1309516028,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:43
MindsDB,MindsDB,1364546605,395,https://en.wikipedia.org/wiki/MindsDB?oldid=1364546605,Category:Articles containing suspected AI-generated texts from April 2026,2026-07-23 00:22:44
Mosaics in Asia,Mosaics_in_Asia,1360710649,2965,https://en.wikipedia.org/wiki/Mosaics_in_Asia?oldid=1360710649,Category:Articles containing suspected AI-generated texts from February 2026,2026-07-23 00:22:44
Mubarak Qazi,Mubarak_Qazi,1360733469,268,https://en.wikipedia.org/wiki/Mubarak_Qazi?oldid=1360733469,Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:45
Multipurpose cash assistance,Multipurpose_cash_assistance,1356081076,426,https://en.wikipedia.org/wiki/Multipurpose_cash_assistance?oldid=1356081076,Category:Articles containing suspected AI-generated texts from October 2025,2026-07-23 00:22:45
N29 road (Belgium),N29_road_(Belgium),1359922885,219,https://en.wikipedia.org/wiki/N29_road_(Belgium)?oldid=1359922885,Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:45
New York (2009 film),New_York_(2009_film),1362187025,1557,https://en.wikipedia.org/wiki/New_York_(2009_film)?oldid=1362187025,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:46
Ngulu people,Ngulu_people,1328781788,3300,https://en.wikipedia.org/wiki/Ngulu_people?oldid=1328781788,Category:Articles containing suspected AI-generated texts from November 2025,2026-07-23 00:22:47
Nicrophorus vespilloides,Nicrophorus_vespilloides,1360713126,2506,https://en.wikipedia.org/wiki/Nicrophorus_vespilloides?oldid=1360713126,Category:Articles containing suspected AI-generated texts from October 2025,2026-07-23 00:22:48
